Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTk0MjAyNjA3OTc1OTczOjE2NzU0MDY2NzY6c3BfYXRmOjIwMTEwMTgxNTExNTk4OjowOjo&url=%2FThe-Backpack-Pro-Deep-Dive%2Fdp%2FB08SWDK9S7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675406676%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"          MOKOBARA Backpack Pro 15.6"" Inch Laptop Backpack For Men And Women (21 litre).          ","5,990",4.4,223
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTk0MjAyNjA3OTc1OTczOjE2NzU0MDY2NzY6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675406676%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"          URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black          ",998,3.9,684
https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675406676&sr=8-3,          American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK)          ,"1,299",4.1,"51,370"
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675406676&sr=8-4,          Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black)          ,565,4.3,"9,226"
https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675406676&sr=8-5,          Skybags Brat Black 46 Cms Casual Backpack          ,669,4.1,"3,368"
https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675406676&sr=8-6,          ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)          ,499,3.9,462
https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675406676&sr=8-7,"          Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping          ",699,3.9,"2,184"
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?keywords=bags&qid=1675406676&sr=8-8,"          Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue          ",498,4.3,"12,103"
https://www.amazon.in//Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_9?keywords=bags&qid=1675406676&sr=8-9,          Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag          ,798,4.1,912
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?keywords=bags&qid=1675406676&sr=8-10,"          Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)          ",349,4.1,"7,630"
